paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validat,2011.0,50.0,2.0,,Dual slot antenna,Dual Slot,Experimental,29.6,,19.1,,,0.711,6000.0,100.0,3.9318256327243257,1.0986122886681098,8.699681400989514,1.4142135623730951,19.1,5654.016452050057,0.6452702702702703,0
Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validat,2011.0,50.0,5.0,,Dual slot antenna,Dual Slot,Experimental,37.6,,25.7,,,0.683,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.7,13003.273999089006,0.6835106382978723,0
Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validat,2011.0,50.0,10.0,,Dual slot antenna,Dual Slot,Experimental,49.2,,34.7,,,0.706,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,34.7,31018.634445739663,0.7052845528455285,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,20.0,3.0,,Other,Other,Experimental,30.0,,19.0,,,,3600.0,60.0,3.044522437723423,1.3862943611198906,8.188966863648876,1.7320508075688772,19.0,5670.574739729576,0.6333333333333333,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,20.0,5.0,,Other,Other,Experimental,34.0,,22.0,,,,6000.0,100.0,3.044522437723423,1.791759469228055,8.699681400989514,2.23606797749979,22.0,8616.341451245606,0.6470588235294118,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,20.0,10.0,,Other,Other,Experimental,35.0,,28.0,,,,12000.0,200.0,3.044522437723423,2.3978952727983707,9.392745258631441,3.1622776601683795,28.0,14367.550402417319,0.8,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,20.0,15.0,,Other,Other,Experimental,38.0,,31.0,,,,18000.0,300.0,3.044522437723423,2.772588722239781,9.798182590890704,3.872983346207417,31.0,19120.780087298677,0.8157894736842105,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,40.0,3.0,,Other,Other,Experimental,36.0,,24.0,,,,7200.0,120.0,3.713572066704308,1.3862943611198906,8.881975184248867,1.7320508075688772,24.0,10857.344210806325,0.6666666666666666,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,40.0,5.0,,Other,Other,Experimental,42.0,,30.0,,,,12000.0,200.0,3.713572066704308,1.791759469228055,9.392745258631441,2.23606797749979,30.0,19792.033717615697,0.7142857142857143,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,40.0,10.0,,Other,Other,Experimental,53.0,,38.0,,,,24000.0,400.0,3.713572066704308,2.3978952727983707,10.085850775128717,3.1622776601683795,38.0,40072.061494089,0.7169811320754716,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,40.0,15.0,,Other,Other,Experimental,57.0,,40.0,,,,36000.0,600.0,3.713572066704308,2.772588722239781,10.491301994830229,3.872983346207417,40.0,47752.20833456485,0.7017543859649122,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,60.0,3.0,,Other,Other,Experimental,45.0,,26.0,,,,10800.0,180.0,4.110873864173311,1.3862943611198906,9.287394001418473,1.7320508075688772,26.0,15927.87475370025,0.5777777777777777,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,60.0,5.0,,Other,Other,Experimental,47.0,,36.0,,,,18000.0,300.0,4.110873864173311,1.791759469228055,9.798182590890704,2.23606797749979,36.0,31893.448619243576,0.7659574468085106,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,60.0,10.0,,Other,Other,Experimental,65.0,,45.0,,,,36000.0,600.0,4.110873864173311,2.3978952727983707,10.491301994830229,3.1622776601683795,45.0,68918.6888381261,0.6923076923076923,0
A Minimally Invasive Antenna for Microwave Ablation Therapies:,2011.0,60.0,15.0,,Other,Other,Experimental,70.0,,52.0,,,,54000.0,900.0,4.110873864173311,2.772588722239781,10.896757843893464,3.872983346207417,52.0,99106.77624524599,0.7428571428571429,0
Intraoperative Triple Antenna Hepatic Microwave Ablation - 2012,2012.0,45.0,10.0,,Triple Antenna,Multi Slot/Triple,Experimental,,,55.0,,,,27000.0,450.0,3.828641396489095,2.3978952727983707,10.203629181337648,3.1622776601683795,55.0,,,0
Microwave ablation versus radiofrequency ablation in the kidney: high-power triaxial antennas create,2012.0,90.0,12.0,,Triaxial,Triaxial,Experimental,,,3.2,,,,64800.0,1080.0,4.51085950651685,2.5649493574615367,11.079076314320059,3.4641016151377544,3.2,,,0
A Dual-Slot Microwave Antenna for More Spherical Ablation Zones: Ex Vivo and in Vivo Validation- 201,2013.0,50.0,2.0,,Dual Slot,Dual Slot,Experimental,26.4,,19.5,,,,6000.0,100.0,3.9318256327243257,1.0986122886681098,8.699681400989514,1.4142135623730951,19.5,5256.198668721082,0.7386363636363636,0
A Dual-Slot Microwave Antenna for More Spherical Ablation Zones: Ex Vivo and in Vivo Validation- 201,2013.0,50.0,5.0,,Dual Slot,Dual Slot,Experimental,26.1,,21.2,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,21.2,6142.014699697875,0.8122605363984674,0
A Dual-Slot Microwave Antenna for More Spherical Ablation Zones: Ex Vivo and in Vivo Validation- 201,2013.0,50.0,10.0,,Dual Slot,Dual Slot,Experimental,51.4,,30.1,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,30.1,24383.426351342478,0.585603112840467,0
A Dual-Slot Microwave Antenna for More Spherical Ablation Zones: Ex Vivo and in Vivo Validation- 201,2013.0,100.0,2.0,,Dual Slot,Dual Slot,Experimental,41.6,,21.4,,,,12000.0,200.0,4.61512051684126,1.0986122886681098,9.392745258631441,1.4142135623730951,21.4,9975.15148335667,0.5144230769230769,0
