paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
A Novel Multiphysics Optimization-Driven,2016,,4.0,130.0,Interstitial linear array of cylindrical,Other,Simulated,,,20.0,,,,,,,1.6094379124341003,,2.0,20.0,,,1
Multi-Objective Optimization Design and,2025,50.0,6.0,130.0,Partially Water-Cooled coaxial dipole antennas (single objective optimization used),Dipole,Simulated,,,62.48,,,,18000.0,300.0,3.9318256327243257,1.9459101490553132,9.798182590890704,2.449489742783178,62.48,,,1
Multi-Objective Optimization Design and,2025,50.0,6.0,130.0,Partially Water-Cooled coaxial dipole antennas (multi objective optimization used),Dipole,Simulated,,,58.68,,,,18000.0,300.0,3.9318256327243257,1.9459101490553132,9.798182590890704,2.449489742783178,58.68,,,1
Multi-Objective Optimization Design and,2025,50.0,6.0,130.0,Fully Water-Cooled coaxial dipole antennas (single objective optimization used),Dipole,Simulated,,,60.58,,,,18000.0,300.0,3.9318256327243257,1.9459101490553132,9.798182590890704,2.449489742783178,60.58,,,1
Multi-Objective Optimization Design and,2025,50.0,6.0,130.0,Fully Water-Cooled coaxial dipole antennas (multi objective optimization used),Dipole,Simulated,,,59.49,,,,18000.0,300.0,3.9318256327243257,1.9459101490553132,9.798182590890704,2.449489742783178,59.49,,,1
Multi-Objective Optimization Design and,2025,70.0,6.0,130.0,Partially Water-Cooled coaxial dipole antennas,Dipole,Simulated,,,61.05,,,,25200.0,420.0,4.2626798770413155,1.9459101490553132,10.134638955251866,2.449489742783178,61.05,,,1
Multi-Objective Optimization Design and,2025,90.0,6.0,130.0,Partially Water-Cooled coaxial dipole antennas,Dipole,Simulated,,,62.64,,,,32400.0,540.0,4.51085950651685,1.9459101490553132,10.385944565501662,2.449489742783178,62.64,,,1
Multi-Objective Optimization Design and,2025,70.0,6.0,130.0,Fully Water-Cooled coaxial dipole antennas,Dipole,Simulated,,,62.8,,,,25200.0,420.0,4.2626798770413155,1.9459101490553132,10.134638955251866,2.449489742783178,62.8,,,1
Multi-Objective Optimization Design and,2025,90.0,6.0,130.0,Fully Water-Cooled coaxial dipole antennas,Dipole,Simulated,,,64.81,,,,32400.0,540.0,4.51085950651685,1.9459101490553132,10.385944565501662,2.449489742783178,64.81,,,1
Microwave Antenna Design for Cardiovascular,2023,40.0,2.0,72.37,MRSA,MRSA,Simulated,9.41,13.38,,,,,4800.0,80.0,3.713572066704308,1.0986122886681098,8.476579508530941,1.4142135623730951,13.38,882.0647620032911,1.0,1
Microwave Antenna Design for Cardiovascular,2023,40.0,2.0,84.92,Monopole,Monopole,Simulated,11.87,18.28,,,,,4800.0,80.0,3.713572066704308,1.0986122886681098,8.476579508530941,1.4142135623730951,18.28,2076.8337083681736,1.0,1
A Flexible Microwave Ablation Antenna for Lung Cancer Treatment -2023,2023,10.0,3.5,60.0,Flexible meandered monopole MWA antenna,Monopole,Simulated,20.0,16.0,,,,,2100.0,35.0,2.3978952727983707,1.5040773967762742,7.650168700845001,1.8708286933869707,16.0,2680.82573106329,0.8,1
Effect of the antenna slot numbers and position on the performance of microwave ablation -2023,2023,10.0,10.0,93.0,Monopole,Monopole,Simulated,51.0,20.0,,,,,6000.0,100.0,2.3978952727983707,2.3978952727983707,8.699681400989514,3.1622776601683795,20.0,10681.415022205296,0.39215686274509803,1
Effect of the antenna slot numbers and position on the performance of microwave ablation -2023,2023,10.0,10.0,95.0,Single Slot,Single Slot,Simulated,65.0,24.0,,,,,6000.0,100.0,2.3978952727983707,2.3978952727983707,8.699681400989514,3.1622776601683795,24.0,19603.538158400308,0.36923076923076925,1
Effect of the antenna slot numbers and position on the performance of microwave ablation -2023,2023,10.0,10.0,107.0,Double Slot,Dual Slot,Simulated,67.0,35.0,,,,,6000.0,100.0,2.3978952727983707,2.3978952727983707,8.699681400989514,3.1622776601683795,35.0,42974.369507230374,0.5223880597014925,1
Microwave ablation modeling with AMICA antenna: Validation by means a numerical analysis -2023,2023,100.0,5.5,95.0,Single-slot coaxial antenna,Single Slot,Simulated,30.0,28.0,,,,,33000.0,550.0,4.61512051684126,1.8718021769015913,10.404293143019792,2.345207879911715,28.0,12315.043202071987,0.9333333333333333,1
A Minimally Invasive Microwave Ablation Antenna With Highly Localized Ablation Zone -2022,2022,20.0,5.0,60.0,Monopole SICL Antenna,Monopole,Simulated,29.8,24.8,,,,,6000.0,100.0,3.044522437723423,1.791759469228055,8.699681400989514,2.23606797749979,24.8,9596.618890130538,0.8322147651006712,1
A Minimally Invasive Microwave Ablation Antenna With Highly Localized Ablation Zone -2022,2022,20.0,10.0,60.0,Monopole SICL Antenna,Monopole,Simulated,34.1,31.2,,,,,12000.0,200.0,3.044522437723423,2.3978952727983707,9.392745258631441,3.1622776601683795,31.2,17380.49693123771,0.9149560117302052,1
Triple Coaxial-Half-Slot Antenna Scheme With,2021,50.0,1.0,60.0,Coaxial Half-Slot antenna (10 mm spacing),Coaxial Half-Slot,Simulated,,,,,18428.0,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,,18428.0,,1
